Dega,Viti,Paraleli,Lenda,Tipi,Pedagog,Dita,Klasa,Ora
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B,Programim i orjentuar objekt,leksion,N/A,E Premte,KlasaD1,16:00-17:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B1,Programim i orjentuar objekt,seminar,N/A,E Hënë,Salla BT (106 C),18:00-19:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B2,Programim i orjentuar objekt,seminar,N/A,E Hënë,201C,17:00-18:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A,Sisteme interneti,leksion,N/A,E Martë,KlasaD2,10:00-11:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A,Sisteme interneti,leksion,N/A,E Martë,KlasaD2,11:00-12:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A1,Sisteme interneti,seminar,N/A,E Premte,201C,13:00-14:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A2,Sisteme interneti,seminar,N/A,E Premte,202C,14:00-15:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A,Teknologji dotNet,leksion,N/A,E Martë,410A,15:00-16:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A,Teknologji dotNet,leksion,N/A,E Martë,410A,16:00-17:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A1,Teknologji dotNet,seminar,N/A,E Premte,201C,14:00-15:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A1,Teknologji dotNet,seminar,N/A,E Premte,201C,15:00-16:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A2,Teknologji dotNet,seminar,N/A,E Premte,201C,16:00-17:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A2,Teknologji dotNet,seminar,N/A,E Premte,201C,17:00-18:00
